order_id,customer_id,sku,amount,currency,order_date,channel,region
SYN-O001,SYN-C001,SKU-101,1250.00,INR,2026-04-01,Web,South
SYN-O002,SYN-C002,SKU-104,899.50,INR,2026-04-01,Store,West
SYN-O003,SYN-C003,SKU-102,,INR,2026-04-02,Web,North
SYN-O004,SYN-C004,SKU-109,1499.00,INR,2026-04-02,Marketplace,South
SYN-O005,SYN-C005,SKU-107,49.99,USD,2026-04-03,Web,East
SYN-O006,SYN-C006,SKU-103,2199.00,INR,2026-04-03,Store,West
SYN-O007,SYN-C007,SKU-105,N/A,INR,2026-04-04,Web,North
SYN-O008,SYN-C008,SKU-108,799.00,INR,2026-04-04,Marketplace,South
SYN-O009,SYN-C009,SKU-106,1299.00,INR,2026-04-05,Web,East
SYN-O010,SYN-C010,SKU-110,35.50,USD,2026-04-05,Store,West
SYN-O011,SYN-C011,SKU-111,999.00,INR,2026-04-06,Web,North
SYN-O012,SYN-C012,SKU-112,1750.00,INR,2026-04-06,Marketplace,South
SYN-O013,SYN-C013,SKU-101,1250.00,INR,2026-04-07,Web,East
SYN-O014,SYN-C014,SKU-104,,INR,2026-04-07,Store,West
SYN-O015,SYN-C015,SKU-109,1499.00,INR,2026-04-08,Web,North
