student_id,gender,age,department,attendance_pct,grade_math,grade_reading,study_hours_week
SYN-S001,F,19,CSE,92,88,91,14
SYN-S002,M,20,ECE,84,76,79,10
SYN-S003,F,19,CSE,96,94,93,16
SYN-S004,M,21,MECH,71,65,68,7
SYN-S005,F,20,CIVIL,88,82,86,12
SYN-S006,M,19,ECE,79,,74,9
SYN-S007,F,21,CSE,91,90,89,15
SYN-S008,M,20,MECH,68,61,64,6
SYN-S009,F,19,CIVIL,86,80,83,11
SYN-S010,M,22,CSE,75,72,,8
SYN-S011,F,20,ECE,93,89,92,14
SYN-S012,M,21,CIVIL,81,77,75,10
SYN-S013,F,19,CSE,98,96,95,18
SYN-S014,M,20,MECH,73,69,70,7
SYN-S015,F,21,ECE,,85,87,13
