PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,Synthetic Passenger 0001,male,22,1,0,SYN-TICKET-0001,7.25,,S
2,1,1,Synthetic Passenger 0002,female,38,1,0,SYN-TICKET-0002,71.2833,C85,C
3,1,3,Synthetic Passenger 0003,female,26,0,0,SYN-TICKET-0003,7.925,,S
4,1,1,Synthetic Passenger 0004,female,35,1,0,SYN-TICKET-0004,53.1,C123,S
5,0,3,Synthetic Passenger 0005,male,35,0,0,SYN-TICKET-0005,8.05,,S
6,0,3,Synthetic Passenger 0006,male,,0,0,SYN-TICKET-0006,8.4583,,Q
7,0,1,Synthetic Passenger 0007,male,54,0,0,SYN-TICKET-0007,51.8625,E46,S
8,0,3,Synthetic Passenger 0008,male,2,3,1,SYN-TICKET-0008,21.075,,S
9,1,3,Synthetic Passenger 0009,female,27,0,2,SYN-TICKET-0009,11.1333,,S
10,1,2,Synthetic Passenger 0010,female,14,1,0,SYN-TICKET-0010,30.0708,,C
11,1,3,Synthetic Passenger 0011,female,4,1,1,SYN-TICKET-0011,16.7,G6,S
12,1,1,Synthetic Passenger 0012,female,58,0,0,SYN-TICKET-0012,26.55,C103,S
13,0,3,Synthetic Passenger 0013,male,20,0,0,SYN-TICKET-0013,8.05,,S
14,0,3,Synthetic Passenger 0014,male,39,1,5,SYN-TICKET-0014,31.275,,S
15,0,3,Synthetic Passenger 0015,female,14,0,0,SYN-TICKET-0015,7.8542,,S
16,1,2,Synthetic Passenger 0016,female,55,0,0,SYN-TICKET-0016,16,,S
17,0,3,Synthetic Passenger 0017,male,2,4,1,SYN-TICKET-0017,29.125,,Q
18,1,2,Synthetic Passenger 0018,male,,0,0,SYN-TICKET-0018,13,,S
19,0,3,Synthetic Passenger 0019,female,31,1,0,SYN-TICKET-0019,18,,S
20,1,3,Synthetic Passenger 0020,female,,0,0,SYN-TICKET-0020,7.225,,C
21,0,2,Synthetic Passenger 0021,male,35,0,0,SYN-TICKET-0021,26,,S
22,1,2,Synthetic Passenger 0022,male,34,0,0,SYN-TICKET-0022,13,D56,S
23,1,3,Synthetic Passenger 0023,female,15,0,0,SYN-TICKET-0023,8.0292,,Q
24,1,1,Synthetic Passenger 0024,male,28,0,0,SYN-TICKET-0024,35.5,A6,S
25,0,3,Synthetic Passenger 0025,female,8,3,1,SYN-TICKET-0025,21.075,,S
26,1,3,Synthetic Passenger 0026,female,38,1,5,SYN-TICKET-0026,31.3875,,S
27,0,3,Synthetic Passenger 0027,male,,0,0,SYN-TICKET-0027,7.225,,C
28,0,1,Synthetic Passenger 0028,male,19,3,2,SYN-TICKET-0028,263,C23 C25 C27,S
29,1,3,Synthetic Passenger 0029,female,,0,0,SYN-TICKET-0029,7.8792,,Q
30,0,3,Synthetic Passenger 0030,male,,0,0,SYN-TICKET-0030,7.8958,,S
31,0,1,Synthetic Passenger 0031,male,40,0,0,SYN-TICKET-0031,27.7208,,C
32,1,1,Synthetic Passenger 0032,female,,1,0,SYN-TICKET-0032,146.5208,B78,C
33,1,3,Synthetic Passenger 0033,female,,0,0,SYN-TICKET-0033,7.75,,Q
34,0,2,Synthetic Passenger 0034,male,66,0,0,SYN-TICKET-0034,10.5,,S
35,0,1,Synthetic Passenger 0035,male,28,1,0,SYN-TICKET-0035,82.1708,,C
36,0,1,Synthetic Passenger 0036,male,42,1,0,SYN-TICKET-0036,52,,S
37,1,3,Synthetic Passenger 0037,male,,0,0,SYN-TICKET-0037,7.2292,,C
38,0,3,Synthetic Passenger 0038,male,21,0,0,SYN-TICKET-0038,8.05,,S
39,0,3,Synthetic Passenger 0039,female,18,2,0,SYN-TICKET-0039,18,,S
40,1,3,Synthetic Passenger 0040,female,14,1,0,SYN-TICKET-0040,11.2417,,C
41,0,3,Synthetic Passenger 0041,female,40,1,0,SYN-TICKET-0041,9.475,,S
42,0,2,Synthetic Passenger 0042,female,27,1,0,SYN-TICKET-0042,21,,S
43,0,3,Synthetic Passenger 0043,male,,0,0,SYN-TICKET-0043,7.8958,,C
44,1,2,Synthetic Passenger 0044,female,3,1,2,SYN-TICKET-0044,41.5792,,C
45,1,3,Synthetic Passenger 0045,female,19,0,0,SYN-TICKET-0045,7.8792,,Q
46,0,3,Synthetic Passenger 0046,male,,0,0,SYN-TICKET-0046,8.05,,S
47,0,3,Synthetic Passenger 0047,male,,1,0,SYN-TICKET-0047,15.5,,Q
48,1,3,Synthetic Passenger 0048,female,,0,0,SYN-TICKET-0048,7.75,,Q
49,0,3,Synthetic Passenger 0049,male,,2,0,SYN-TICKET-0049,21.6792,,C
50,0,3,Synthetic Passenger 0050,female,18,1,0,SYN-TICKET-0050,17.8,,S
51,0,3,Synthetic Passenger 0051,male,7,4,1,SYN-TICKET-0051,39.6875,,S
52,0,3,Synthetic Passenger 0052,male,21,0,0,SYN-TICKET-0052,7.8,,S
53,1,1,Synthetic Passenger 0053,female,49,1,0,SYN-TICKET-0053,76.7292,D33,C
54,1,2,Synthetic Passenger 0054,female,29,1,0,SYN-TICKET-0054,26,,S
55,0,1,Synthetic Passenger 0055,male,65,0,1,SYN-TICKET-0055,61.9792,B30,C
56,1,1,Synthetic Passenger 0056,male,,0,0,SYN-TICKET-0056,35.5,C52,S
57,1,2,Synthetic Passenger 0057,female,21,0,0,SYN-TICKET-0057,10.5,,S
58,0,3,Synthetic Passenger 0058,male,28.5,0,0,SYN-TICKET-0058,7.2292,,C
59,1,2,Synthetic Passenger 0059,female,5,1,2,SYN-TICKET-0059,27.75,,S
60,0,3,Synthetic Passenger 0060,male,11,5,2,SYN-TICKET-0060,46.9,,S
61,0,3,Synthetic Passenger 0061,male,22,0,0,SYN-TICKET-0061,7.2292,,C
62,1,1,Synthetic Passenger 0062,female,38,0,0,SYN-TICKET-0062,80,B28,
63,0,1,Synthetic Passenger 0063,male,45,1,0,SYN-TICKET-0063,83.475,C83,S
64,0,3,Synthetic Passenger 0064,male,4,3,2,SYN-TICKET-0064,27.9,,S
65,0,1,Synthetic Passenger 0065,male,,0,0,SYN-TICKET-0065,27.7208,,C
66,1,3,Synthetic Passenger 0066,male,,1,1,SYN-TICKET-0066,15.2458,,C
67,1,2,Synthetic Passenger 0067,female,29,0,0,SYN-TICKET-0067,10.5,F33,S
68,0,3,Synthetic Passenger 0068,male,19,0,0,SYN-TICKET-0068,8.1583,,S
69,1,3,Synthetic Passenger 0069,female,17,4,2,SYN-TICKET-0069,7.925,,S
70,0,3,Synthetic Passenger 0070,male,26,2,0,SYN-TICKET-0070,8.6625,,S
71,0,2,Synthetic Passenger 0071,male,32,0,0,SYN-TICKET-0071,10.5,,S
72,0,3,Synthetic Passenger 0072,female,16,5,2,SYN-TICKET-0072,46.9,,S
73,0,2,Synthetic Passenger 0073,male,21,0,0,SYN-TICKET-0073,73.5,,S
74,0,3,Synthetic Passenger 0074,male,26,1,0,SYN-TICKET-0074,14.4542,,C
75,1,3,Synthetic Passenger 0075,male,32,0,0,SYN-TICKET-0075,56.4958,,S
76,0,3,Synthetic Passenger 0076,male,25,0,0,SYN-TICKET-0076,7.65,F G73,S
77,0,3,Synthetic Passenger 0077,male,,0,0,SYN-TICKET-0077,7.8958,,S
78,0,3,Synthetic Passenger 0078,male,,0,0,SYN-TICKET-0078,8.05,,S
79,1,2,Synthetic Passenger 0079,male,0.83,0,2,SYN-TICKET-0079,29,,S
80,1,3,Synthetic Passenger 0080,female,30,0,0,SYN-TICKET-0080,12.475,,S
81,0,3,Synthetic Passenger 0081,male,22,0,0,SYN-TICKET-0081,9,,S
82,1,3,Synthetic Passenger 0082,male,29,0,0,SYN-TICKET-0082,9.5,,S
83,1,3,Synthetic Passenger 0083,female,,0,0,SYN-TICKET-0083,7.7875,,Q
84,0,1,Synthetic Passenger 0084,male,28,0,0,SYN-TICKET-0084,47.1,,S
85,1,2,Synthetic Passenger 0085,female,17,0,0,SYN-TICKET-0085,10.5,,S
86,1,3,Synthetic Passenger 0086,female,33,3,0,SYN-TICKET-0086,15.85,,S
87,0,3,Synthetic Passenger 0087,male,16,1,3,SYN-TICKET-0087,34.375,,S
